To do,sous tâches,Estimation,Temps passe,Reste à faire,Avancement,QUI,
Conception bases,,30,30,0,100%,,
insertion de données,,8,8,0,100%,,
,,,,,,,
V1,,,,,,,
CRUD ville,,,,,,Tsiory,
,formulaire,5,5,0,100%,,
,page liste ville,2,2,0,100%,,
,suppression/modif,3,3,0,100%,,
,route GET ville,3,3,0,100%,,
,route POST ville,6,6,0,100%,,
,Ajouter ville,8,8,0,100%,,
,Modele ville (fonctions pour les villes),10,10,0,100%,,
Dashboard ,,,,,,Tsiory,
,Liste ville,6,6,0,100%,,
,Affichage des dons par ville,8,8,0,100%,,
,Affichage des besoins par ville,5,5,0,100%,,
,interface tableau qui rassemble les deux,10,10,0,100%,,
,,,,,,,
fiche d'une ville en detail,,,,,,Tsiory,
,Affichage detaille de la ville,6,6,0,100%,,
,liste besoins,8,8,0,100%,,
,liste dons recus,5,5,0,100%,,
Saisie besoins,,,,,,Onja,
,formulaire,3,3,0,100%,,
,route get besoins,2,2,0,100%,,
,route besoions add,3,3,0,100%,,
,route post besoins,3,3,0,100%,,
,Modele insert,5,5,0,100%,,
,Modele getByVille,6,6,0,100%,,
,Model getNonSatisfait,6,6,0,100%,,
Liste des besoins,,,,,,Onja,
,Liste filtré par ville,8,8,0,100%,,
,Quantité restant,7,7,0,100%,,
,niveau difficulté,5,5,0,100%,,
Saisie dons,,,,,,Njary,
,Formulaire,3,3,0,100%,,
,Routes get/dons et /dons/add,2,2,0,100%,,
,Dispatch (simulation de distrib),15,15,0,100%,,
,route post /dispatch/run,5,5,0,100%,,
,trie de dons par date,10,10,0,100%,,
,trouver besoin correspendant,12,12,0,100%,,
,distribuer,10,10,0,100%,,
,enregistrer dans table dispatch,8,8,0,100%,,
V2,,,,,#VALUE!,,
Dspatch par date,,,,,,Tsiory ,
,formulaire achat  ,5,5,0,100%,,
,liste achats  ,6,6,0,100%,,
,filtre par ville  ,5,5,0,100%,,
,calcul(quantite × prix)  ,4,4,0,100%,,
,appliquer frais configurable (%)  ,6,6,0,100%,,
,calcul total avec frais  ,5,5,0,100%,,
,vérifier argent disponible  ,6,6,0,100%,,
,message erreur insuffisant  ,4,4,0,100%,,
,message erreur  déjà satisfait  ,3,3,0,100%,,
,enregistrer achat  ,6,6,0,100%,,
Gestion frais configurable,,,,,,Tsiory ,
,table config (frais_achat)  ,4,4,0,100%,,
,page modification frais (%)  ,4,4,0,100%,,
,récupérer frais depuis base  ,3,3,0,100%,,
Adaptation besoins restants,,,,,,Onja,
,calcul montant total besoin  ,10,10,0,100%,,
,calcul montant satisfait  ,12,12,0,100%,,
,calcul montant restant  ,8,8,0,100%,,
,exclure besoins type argent  ,6,6,0,100%,,
,bloquer achat si besoin couvert  ,8,8,0,100%,,
,Modele getMontantRestant()  ,10,10,0,100%,,
,Modele getTotalBesoins()  ,6,6,0,100%,,
Simulation dispatch,,,,,,Njary,
,total besoins (montant)  ,15,15,0,100%,,
,total satisfaits  ,12,12,0,100%,,
,total restants  ,10,10,0,100%,,
,total dons restants  ,8,8,0,100%,,
,interface affichage  ,6,6,0,100%,,
Bouton actualiser,,,,,,Njary,
,route retour JSON  ,6,6,0,100%,,
,requête AJAX  ,5,5,0,100%,,
,update DOM sans reload  ,6,6,0,100%,,
V3,,,,,#VALUE!,,
Par date,,,,,,Onja,
,bouton interface,5,5,0,100%,,
,fonction de partage,10,10,0,100%,,
,ajax simulation,15,15,0,100%,,
,validation et entrer en base,20,20,0,100%,,
Intégration Achat->Caisse,,,,,,Onja,
,bouton interface,5,5,0,100%,,
,fonction de partage,10,10,0,100%,,
,ajax simulation,15,15,0,100%,,
,validation et entrer en base,20,20,0,100%,,
Rapports et Dashboards,,,,,,Tsiory,
,bouton interface,5,5,0,100%,,
,fonction de partage,10,10,0,100%,,
,ajax simulation,15,15,0,100%,,
,validation et entrer en base,20,20,0,100%,,
renitialisation des données,,,,,,Njary,
,requête pour renitialiser les données ,10,10,0,100%,,
Déploiement 2,,,,,,Njary,
,entrer des nouveaux données,10,0,0,#DIV/0!,,
,vérifications final,15,0,0,#DIV/0!,,
,tests performance,20,0,0,#DIV/0!,,
,corrections bugs,25,0,0,#DIV/0!,,
,deploiment,20,0,0,#DIV/0!,,
,,,,,,,
